Category Name	Item Name	UoM																					
CHOCOLATES	CHOCOLATE 1 PIECE MRP 1	NOS																					
CHOCOLATES	DAILY NUT SALTED ALMOND 200GM	NOS																					
CHOCOLATES	DAIRY HOME ASSORTMENTS	NOS																					
CHOCOLATES	DAIRY HOME CHOCLATE RS 290	NOS																					
CHOCOLATES	DAIRY HOME MELANI	NOS																					
CHOCOLATES	DAIRY HOME NUTS IN	NOS																					
CHOCOLATES	DAIRY HOME TRUS ME	NOS																					
CHOCOLATES	DOLEY CHOCLATE RS 180	NOS																					
CHOCOLATES	DOLEY CHOCLATE RS 200	NOS																					
CHOCOLATES	DOLEY CHOCLATE RS 220	NOS																					
CHOCOLATES	DOLEY CHOCLATE RS 250	NOS																					
CHOCOLATES	DOLEY CHOCLATE RS.130	NOS																					
CHOCOLATES	DOLEY CHOCLATE RS.300	NOS																					
CHOCOLATES	GALAXY RS 20	NOS																					
CHOCOLATES	GALAXY CRISPY	NOS																					
CHOCOLATES	GALAXY DARK RS 50	NOS																					
CHOCOLATES	GALAXY FRUIT & NUT	NOS																					
CHOCOLATES	GALAXY RS 10	NOS																					
CHOCOLATES	GALAXY RS 40	NOS																					
CHOCOLATES	GALAXY RS 50	NOS																					
CHOCOLATES	GALAXY RS 80	NOS																					
CHOCOLATES	GALAXY RS 90	NOS																					
CHOCOLATES	GALAXY SM (30 G)	NOS																					
CHOCOLATES	GALAXY SM MRP 20	NOS																					
CHOCOLATES	HER CHOCO TUBE RS 20	NOS																					
CHOCOLATES	HER ECOTIC RS 160	NOS																					
CHOCOLATES	HER EXOTIC RS 150	NOS																					
CHOCOLATES	HER EXOTIC RS 150	NOS																					
CHOCOLATES	HER EXOTIC RS 55	NOS																					
CHOCOLATES	HER KIS RS 145	NOS																					
CHOCOLATES	HER KISS RS 140	NOS																					
CHOCOLATES	HER KISS RS 160	NOS																					
CHOCOLATES	HER KISS RS 50	NOS																					
CHOCOLATES	HER KISS RS 55	NOS																					
CHOCOLATES	KIKAT FAMILY PACK MRP 60	NOS																					
CHOCOLATES	KITKAT @10	NOS																					
CHOCOLATES	KITKAT DESSERT RS 170	NOS																					
CHOCOLATES	KITKAT MRP 15	NOS																					
CHOCOLATES	KITKAT MRP 25	NOS																					
CHOCOLATES	KITKAT RS 30	NOS																					
CHOCOLATES	KITKAT RS 45	NOS																					
CHOCOLATES	KITKAT RS 60	NOS																					
CHOCOLATES	KITKAT RS 65	NOS																					
CHOCOLATES	KITKAT@20	NOS																					
CHOCOLATES	KITKAT@5	NOS																					
CHOCOLATES	KOPIKO	NOS																					
CHOCOLATES	MAGIC CHOCLTAE RS 180	NOS																					
CHOCOLATES	MARS	NOS																					
CHOCOLATES	MARS RS 60	NOS																					
CHOCOLATES	MARS RS 70	NOS																					
CHOCOLATES	MEDLEY GIFT BOX RS 300	NOS																					
CHOCOLATES	MELANIA 420 GM	NOS																					
CHOCOLATES	MELODY CHOCLTAE RS 180	NOS																					
CHOCOLATES	MELODY CHOCLTATE RS 200	NOS																					
CHOCOLATES	MILKY BAR	NOS																					
CHOCOLATES	MILKY BAR (25 G)	NOS																					
CHOCOLATES	MILKY BAR MOOSA MRP 10	NOS																					
CHOCOLATES	MILKY BAR RS 5	NOS																					
CHOCOLATES	MILKYBAR MOULD RS.20	NOS																					
CHOCOLATES	MILKYBAR RS.10	NOS																					
CHOCOLATES	MUNCH MAHA CRUNCH	NOS																					
CHOCOLATES	MUNCH NUT RS 10	NOS																					
CHOCOLATES	MUNCH NUTS MRP 20	NOS																					
CHOCOLATES	MUNCH RS 25	NOS																					
CHOCOLATES	MUNCH RS 5	NOS																					
CHOCOLATES	NESTLE CLASSIC MRP 20	NOS																					
CHOCOLATES	NEXTAR BROWINES RS 10	NOS																					
CHOCOLATES	NUTS IN 300 GM	NOS																					
CHOCOLATES	POLO @10	NOS																					
CHOCOLATES	POLO @5	NOS																					
CHOCOLATES	POLO RS 2	NOS																					
CHOCOLATES	SNICKERS CASHEW	NOS																					
CHOCOLATES	SNICKERS @10	NOS																					
CHOCOLATES	SNICKERS @40	NOS																					
CHOCOLATES	SNICKERS GIFT PACK RS 249	NOS																					
CHOCOLATES	SNICKERS MRP 30	NOS																					
CHOCOLATES	SNICKERS RS 20	NOS																					
CHOCOLATES	SNICKERS RS 25	NOS																					
CHOCOLATES	SNICKERS RS 30	NOS																					
CHOCOLATES	SNICKERS RS 35	NOS																					
CHOCOLATES	SNICKERS RS 45	NOS																					
CHOCOLATES	SNICKERS RS 50	NOS																					
CHOCOLATES	SNICKERS RS 60	NOS																					
CHOCOLATES	SUPREME SESME CANDY WHITE	NOS																					
CHOCOLATES	SWEET ECLAIRS RS 120	NOS																					
CHOCOLATES	TRUS ME 250GM	NOS																					
CHOCOLATES	TWIX RS.60	NOS																					
CHOCOLATES	TWIX RS 30	NOS																					
CHOCOLATES	TWIX RS 70	NOS																					
CHOCOLATES	TWIX SB MRP 50	NOS																					
CHOCOLATES	ZMUNCH NUTS MRP 10	NOS																					
COLD BEVERAGES	AINES GRAPE JUICE RS50	NOS																					
COLD BEVERAGES	AINES GRAPE JUICE RS60	NOS																					
COLD BEVERAGES	AINES MANGO JUICE	NOS																					
COLD BEVERAGES	AINES MANGO JUICE RS 60	NOS																					
COLD BEVERAGES	AINES PASSION FRUIT	NOS																					
COLD BEVERAGES	AINES PASSION FRUIT RS60	NOS																					
COLD BEVERAGES	BADAM DRINK	NOS																					
COLD BEVERAGES	BANANA MILK SHAKE	NOS																					
COLD BEVERAGES	BUTTER MILK	NOS																					
COLD BEVERAGES	COLD COFFEE	NOS																					
COLD BEVERAGES	FRESH CARROT JUICE	NOS																					
COLD BEVERAGES	FRESH JUICE APPLE	NOS																					
COLD BEVERAGES	FRESH JUICE ORANGE	NOS																					
COLD BEVERAGES	FRESH JUICE PINEAPPLE	NOS																					
COLD BEVERAGES	FRESH JUICE POMOGRANATE	NOS																					
COLD BEVERAGES	FRESH JUICE WATER MELON	NOS																					
COLD BEVERAGES	GRAPE JUICE	NOS																					
COLD BEVERAGES	LIME JUICE	NOS																					
COLD BEVERAGES	LIME SODA	NOS																					
COLD BEVERAGES	MINERAL WATER 1 LTR RS 20	NOS																					
COLD BEVERAGES	MINERAL WATER 500ML	NOS																					
COLD BEVERAGES	MINT / GINGER LIME JUICE	NOS																					
COLD BEVERAGES	MIX FRUIT JUICE	NOS																					
COLD BEVERAGES	PASSIONFRUIT DRINK	NOS																					
COLD BEVERAGES	WATERMELON CRUSH	NOS																					
COLD BEVERAGES	ZZMINERAL WATER	NOS																					
COMBO MEALS	COMBO PER HEAD 710	NOS																					
COMBO MEALS	COMBO PER HEAD 1200	NOS																					
COMBO MEALS	COMBO PER HEAD 125	NOS																					
COMBO MEALS	COMBO PER HEAD 172	NOS																					
COMBO MEALS	COMBO PER HEAD 180	NOS																					
COMBO MEALS	COMBO PER HEAD 182	NOS																					
COMBO MEALS	COMBO PER HEAD 265	NOS																					
COMBO MEALS	COMBO PER HEAD 280	NOS																					
COMBO MEALS	COMBO PER HEAD 290	NOS																					
COMBO MEALS	COMBO PER HEAD 320	NOS																					
COMBO MEALS	COMBO PER HEAD 335	NOS																					
COMBO MEALS	COMBO PER HEAD 365	NOS																					
COMBO MEALS	COMBO PER HEAD 380	NOS																					
COMBO MEALS	COMBO PER HEAD 385	NOS																					
COMBO MEALS	COMBO PER HEAD 40	NOS																					
COMBO MEALS	COMBO PER HEAD 420	NOS																					
COMBO MEALS	COMBO PER HEAD 425	NOS																					
COMBO MEALS	COMBO PER HEAD 450	NOS																					
COMBO MEALS	COMBO PER HEAD 465	NOS																					
COMBO MEALS	COMBO PER HEAD 470	NOS																					
COMBO MEALS	COMBO PER HEAD 480	NOS																					
COMBO MEALS	COMBO PER HEAD 535	NOS																					
COMBO MEALS	COMBO PER HEAD 550	NOS																					
COMBO MEALS	COMBO PER HEAD 630	NOS																					
COMBO MEALS	COMBO PER HEAD 700	NOS																					
COMBO MEALS	COMBO PER HEAD 710	NOS																					
COMBO MEALS	COMBO PER HEAD 780	NOS																					
COMBO MEALS	COMBO PER HEAD 825	NOS																					
COMBO MEALS	COMBO PER HEAD 950	NOS																					
COMBO MEALS	COMBO PER HEAD RS 172	NOS																					
COMBO MEALS	COMBO PER HEAD RS 335	NOS																					
COMBO MEALS	COMBO PER PAX 350	NOS																					
COMBO MEALS	COMBO PER-HEAD 182	NOS																					
COMBO MEALS	ELLUM KAPPAYUM	NOS																					
COMBO MEALS	FRIED RICE + CHILLY CHICKEN COMBO	NOS																					
COMBO MEALS	GHEE RICE WITH CHICKEN ROAST	NOS																					
COMBO MEALS	KAPPA WITH FISH CURRY COMBO	NOS																					
COMBO MEALS	KIZHI PARATHA BEEF	NOS																					
COMBO MEALS	KIZHI PARATHA CHICKEN	NOS																					
COMBO MEALS	KOLHAPURI CHICKENN	NOS																					
COMBO MEALS	KOTHU CHAPPATHY	NOS																					
COMBO MEALS	KOTHU PARATHA	NOS																					
COMBO MEALS	MIX GRILL NON VEG	NOS																					
COMBO MEALS	POTHICHOR	NOS																					
COMBO MEALS	PUTTUM BEEFUM	NOS																					
COMBO MEALS	PUTTUM CHICKENUM	NOS																					
COMBO MEALS	ZZKAPPA BIRIYANI	NOS																					
COOKIES	ASSORTED COOKIES 100G	NOS																					
COOKIES	ASSORTED COOKIES 150G	NOS																					
COOKIES	CASHEW CRUMBS 200GM	NOS																					
COOKIES	CASHEW CRUMBS COOKIES 200 GM	NOS																					
COOKIES	COOKIES PAIR	NOS																					
COOKIES	FRUITY FUN 200GM	NOS																					
COOKIES	FRUITY FUN COOKIES 200 GM	NOS																					
COOKIES	MASALA MANIA 200GM	NOS																					
COOKIES	NANKATT COOKIES 200 GM	NOS																					
COOKIES	UNIBIC SUGAR FREE RS 50	NOS																					
DESSERTS	ALMOND FERNI	NOS																					
DESSERTS	APPLE PUDDING	NOS																					
DESSERTS	BREAD PUDDING	NOS																					
DESSERTS	CAKE 800	NOS																					
DESSERTS	CANBERRY PUDDING	NOS																					
DESSERTS	CARAMEL PUDDING	NOS																					
DESSERTS	CARROT HALWA	NOS																					
DESSERTS	CARROT PUDDING	NOS																					
DESSERTS	CASHEW PUDDING	NOS																					
DESSERTS	CHOCOLATE PUDDING	NOS																					
DESSERTS	COCO PUDDING	NOS																					
DESSERTS	COFFEE PUDDING	NOS																					
DESSERTS	CUT FRUITS	NOS																					
DESSERTS	FRUIT CUSTARD	NOS																					
DESSERTS	FRUIT SALAD WITH ICE CREAM	NOS																					
DESSERTS	GULAB JAMUN	NOS																					
DESSERTS	JILEBI@15	NOS																					
DESSERTS	KARI NORMAL	NOS																					
DESSERTS	KARI SWEET	NOS																					
DESSERTS	KESARI	NOS																					
DESSERTS	LADDU	NOS																					
DESSERTS	MANGO PUDDING	NOS																					
DESSERTS	MILK SHAKE RS 45	NOS																					
DESSERTS	MIXED FRUIT PUDDING	NOS																					
DESSERTS	PAPPAYA PUDDING	NOS																					
DESSERTS	PAYASAM	NOS																					
DESSERTS	PAYASAM (ADAPRADHAMAN) 1 LTR	NOS																					
DESSERTS	PAYASAM (BROKEN WHEAT) 1 LTR	NOS																					
DESSERTS	PAYASAM (BROKEN WHEAT) HALF LTR	NOS																					
DESSERTS	PAYASAM PALADA HALF	NOS																					
DESSERTS	PAYASAM@30	NOS																					
DESSERTS	PINEAPPLE PAYASAM 500ML	NOS																					
DESSERTS	PINEAPPLE PUDDING	NOS																					
DESSERTS	PUDDING	NOS																					
DESSERTS	RAVA KESARI	NOS																					
DESSERTS	SHAHI TUKDA	NOS																					
DESSERTS	STRAWBERRY PUDDING	NOS																					
DESSERTS	SWEET LASSI	NOS																					
DESSERTS	TENDER COCO PUDDING	NOS																					
